pid,event_id,dt,ts,duration_in_sec,store_id,floor_id,pair_id,pid_dt,store_name,type_by_brand,store_name_eng,pid_count,pid_id,q1,q2,q3,bucket,store_duration
ZHDC_foshan_hyc_20230820_clusterid_21308,6,2023-08-20,1692516766,711.0,zhdc-foshan-hyc-L130_L131_L134_L228_L230-N,L1,16,1785758,H&M,零售,H&M,9,3344676,58.0,144.0,372.0,Q4,H&M_Q4
ZHDC_foshan_hyc_20230410_clusterid_14372,7,2023-04-10,1681129333,322.0,zhdc-foshan-hyc-B110-N,B1,53,742417,沃尔玛,主力店,Walmart,12,1339889,131.0,634.0,1537.0,Q2,Walmart_Q2
ZHDC_foshan_hyc_20230608_clusterid_7531,7,2023-06-08,1686219594,18.0,zhdc-foshan-hyc-L116-N,L1,9,160574,奈雪の茶,餐饮,Nayuki tea,2,2146933,59.0,406.0,2865.0,Q1,Nayuki tea_Q1
ZHDC_foshan_hyc_20230827_clusterid_17440,6,2023-08-27,1693107156,65.0,zhdc-foshan-hyc-L222-N,L2,10,1946044,广海·广东小海鲜,餐饮,Guanghai· seafood,26,3463837,59.0,406.0,2865.0,Q2,Guanghai· seafood_Q2
ZHDC_foshan_hyc_20230422_clusterid_32239,7,2023-04-22,1682163207,83.0,zhdc-foshan-hyc-L224-2-N,L2,23,954531,埃沃,零售,Aivo,6,1487167,58.0,144.0,372.0,Q2,Aivo_Q2
ZHDC_foshan_hyc_20230613_clusterid_18952,6,2023-06-13,1686639639,176.0,zhdc-foshan-hyc-B121-2-N,B1,21,262047,任天堂,娱乐配套,Nintendo,4,2222323,64.0,243.0,787.0,Q2,Nintendo_Q2
ZHDC_foshan_hyc_20230407_clusterid_12027,6,2023-04-07,1680863048,10806.0,zhdc-foshan-hyc-L120-L121-2-N,L1,12,672116,乐高,儿童,Lego,5,1288696,68.0,229.0,917.0,Q4,Lego_Q4
ZHDC_foshan_hyc_20230502_clusterid_6137,7,2023-05-02,1683006791,101.0,zhdc-foshan-hyc-B121-1-N,B1,11,1177507,15分钟,零售,15 minutes,12,1649481,58.0,144.0,372.0,Q2,15 minutes_Q2
ch11025_20230326164900-00453686,7,2023-03-26,,,zhdc-foshan-hyc-B154-N,B1,2,2115760,QQ FAMILY,零售,QQ family,6,3914828,58.0,144.0,372.0,Q4,QQ family_Q4
ZHDC_foshan_hyc_20230304_clusterid_25715,7,2023-03-04,1677922479,2392.0,zhdc-foshan-hyc-L231-4-5-N,L2,26,56927,先行书店,娱乐配套,Xianxing bookstore,3,849327,64.0,243.0,787.0,Q4,Xianxing bookstore_Q4
ZHDC_foshan_hyc_20230524_clusterid_6368,6,2023-05-24,1684927479,681.0,zhdc-foshan-hyc-L130_L131_L134_L228_L230-N,L2,20,1568577,H&M,零售,H&M,3,1926535,58.0,144.0,372.0,Q4,H&M_Q4
ZHDC_foshan_hyc_20230628_clusterid_8163,7,2023-06-28,1687929013,4590.0,zhdc-foshan-hyc-L519-N,L5,10,572461,湊湊,餐饮,Minou,4,2449060,59.0,406.0,2865.0,Q4,Minou_Q4
ZHDC_foshan_hyc_20230306_clusterid_113,6,2023-03-06,1678102245,,zhdc-foshan-hyc-L122-1-L122-2-L121-1-1-N,L1,48,98648,gaga鲜语,餐饮,Gaga ,17,880830,59.0,406.0,2865.0,Q4,Gaga _Q4
ch02003_20230226173800-00699079,7,2023-02-26,,,zhdc-foshan-hyc-L127-N,L1,1,1142416,MLB,零售,Mlb,2,3562301,58.0,144.0,372.0,Q4,Mlb_Q4
ZHDC_foshan_hyc_20230715_clusterid_323,7,2023-07-15,1689398725,127.0,zhdc-foshan-hyc-L116-N,L1,14,949714,奈雪の茶,餐饮,Nayuki tea,7,2726875,59.0,406.0,2865.0,Q2,Nayuki tea_Q2
ch11025_20230331170800-01435747,6,2023-03-31,,,zhdc-foshan-hyc-B154-N,B1,1,2117306,生活无忧,零售,Wuyou,3,3916374,58.0,144.0,372.0,Q4,Wuyou_Q4
ZHDC_foshan_hyc_20230624_clusterid_21533,6,2023-06-24,1687603973,29.0,zhdc-foshan-hyc-L407-N,L4,16,492290,华硕ASUS,零售,Asus,6,2392380,58.0,144.0,372.0,Q1,Asus_Q1
ZHDC_foshan_hyc_20230228_clusterid_3328,7,2023-02-28,1677565489,102.0,zhdc-foshan-hyc-L136-N,L1,66,1122923,喜茶,餐饮,Hey Tea,5,807097,59.0,406.0,2865.0,Q2,Hey Tea_Q2
ZHDC_foshan_hyc_20230719_clusterid_14842,7,2023-07-19,1689767715,4014.0,zhdc-foshan-hyc-L521-N,L5,27,1033167,西贝,餐饮,Xibei,4,2789490,59.0,406.0,2865.0,Q4,Xibei_Q4
ZHDC_foshan_hyc_20230424_clusterid_14980,7,2023-04-24,1682313970,2145.0,zhdc-foshan-hyc-B139-N,B1,19,984580,食其家,餐饮,Shiqijia,11,1508171,59.0,406.0,2865.0,Q3,Shiqijia_Q3
ch12013_20230405123700-00385259,7,2023-04-05,,,zhdc-foshan-hyc-B139-N,B1,1,2211089,池奈.日式咖喱蛋包饭,餐饮,Ichina japanese curry,2,4055833,59.0,406.0,2865.0,Q4,Ichina japanese curry_Q4
